"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5755","test_process_addcodefail","Tests.test_item","Wed Jul 16 20:26:30 CST 2025","passed","Wed Jul 16 20:26:35 CST 2025","TestProcessPage","test_process","",""
"","5644","test_shift_adddatenum","Tests.test_item","Wed Jul 16 20:34:56 CST 2025","passed","Wed Jul 16 20:35:02 CST 2025","TestShiftPage","test_shift","",""
"","6781","test_setting_average","Tests.test_item","Thu Jul 17 14:45:11 CST 2025","passed","Thu Jul 17 14:45:17 CST 2025","TestSettingPage","test_setting","",""
"","4622","test_changer_delcancel","Tests.test_item","Wed Jul 16 20:59:50 CST 2025","passed","Wed Jul 16 20:59:55 CST 2025","TestChangeRPage","test_changeR","",""
"","4836","test_shift_addminutesnum","Tests.test_item","Wed Jul 16 20:35:12 CST 2025","passed","Wed Jul 16 20:35:16 CST 2025","TestShiftPage","test_shift","",""
"","7835","test_shift_adddateminnum_comparison","Tests.test_item","Wed Jul 16 20:35:27 CST 2025","passed","Wed Jul 16 20:35:34 CST 2025","TestShiftPage","test_shift","",""
"","7458","test_sched_addcommandsuccess","Tests.test_item","Wed Jul 16 21:22:24 CST 2025","passed","Wed Jul 16 21:22:32 CST 2025","TestSchedPage","test_sched","",""
"","8012","test_setting_perspective_notdisplay","Tests.test_item","Thu Jul 17 14:51:38 CST 2025","passed","Thu Jul 17 14:51:46 CST 2025","TestSettingPage","test_setting","",""
"","5575","test_changer_addfail","Tests.test_item","Wed Jul 16 20:56:44 CST 2025","passed","Wed Jul 16 20:56:50 CST 2025","TestChangeRPage","test_changeR","",""
"","8220","test_order_addsuccess","Tests.test_item","Wed Jul 16 21:08:06 CST 2025","passed","Wed Jul 16 21:08:14 CST 2025","TestOrderPage","test_order","",""
"","7935","test_sched_delsched1","Tests.test_item","Wed Jul 16 21:21:32 CST 2025","passed","Wed Jul 16 21:21:39 CST 2025","TestSchedPage","test_sched","",""
"","12817","test_sched_add_resourcefail","Tests.test_item","Wed Jul 16 21:31:38 CST 2025","broken","Wed Jul 16 21:31:51 CST 2025","TestSchedPage","test_sched","",""
"","6696","test_process_restart","Tests.test_item","Wed Jul 16 20:32:56 CST 2025","passed","Wed Jul 16 20:33:03 CST 2025","TestProcessPage","test_process","",""
"","5649","test_setting_statistics_success1","Tests.test_item","Thu Jul 17 14:52:52 CST 2025","passed","Thu Jul 17 14:52:57 CST 2025","TestSettingPage","test_setting","",""
"","9843","test_chart_work","Tests.test_item","Wed Jul 16 21:51:36 CST 2025","passed","Wed Jul 16 21:51:46 CST 2025","TestChartPage","test_chart","",""
"","22679","test_customer_selectsuccess2","Tests.test_item","Thu Jul 17 10:15:49 CST 2025","passed","Thu Jul 17 10:16:12 CST 2025","TestCustomerPage","test_customer","",""
"","11989","test_customer_selectsuccess1","Tests.test_item","Thu Jul 17 10:15:27 CST 2025","passed","Thu Jul 17 10:15:39 CST 2025","TestCustomerPage","test_customer","",""
