"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","事务管理页用例","1","0","事务模版-新增模版成功，事务类型为存储过程输入名称不输入值,不允许提交","0"
"0","","0","覆盖日历表测试用例","1","0","重新打开浏览器，数据还存在","0"
"1","","0","订单预占料测试用例","0","0","查询测试数据成功","0"
"0","","0","物品切换表测试用例","2","0","添加物品切换信息 填写资源，前品目和后品目 不填写切换时间 不允许提交","0"
"0","","0","方案管理表测试用例","1","0","删除测试方案","0"
"1","","0","物控需求定义测试用例","0","0","添加测试数据","0"
"0","","0","物料库存测试用例","1","0","添加库存信息 不填写数据点击确认 不允许提交","0"
"2","","0","用户与物料员测试用例","0","0","删除数据成功","0"
"0","","0","物品切换表测试用例","1","0","修改物品切换资源成功","0"
"1","","0","资源表测试用例","0","0","输入全部数据，添加保存成功","0"
"0","","0","事务管理页用例","1","0","我的流程-点击查看成功","0"
"1","","0","标准应用设置测试用例","0","0","删除标签成功","0"
"0","","1","事务管理页用例","0","0","我的流程-删除流程数据","0"
"1","","0","物控方案管理表测试用例","0","0","属性设置-分派规则-降序","0"
"0","","0","方案管理表测试用例","1","0","属性设置-分派规则-升序","0"
"0","","0","个人设置测试用例","1","0","修改密码不符合标准,首位字符不允许为空格","0"
"0","","0","物料表测试用例","1","0","添加数据重复","0"
"0","","0","标准应用设置测试用例","1","0","填写布局名称，不勾选可见字段，添加失败","0"
"0","","0","制造订单表测试用例","1","0","查询物料名字成功","0"
"1","","0","供应商信息测试用例","0","0","把修改后的供应商代码改回来","0"
"0","","0","生产特征表测试用例","1","0","修改代码成功","0"
"1","","0","用户与物料员测试用例","0","0","修改用户名重复","0"
"0","","0","资源组表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","方案管理表测试用例","1","0","属性设置-严格遵守后资源制约-开关开启","0"
"0","","0","个人设置测试用例","1","0","不操作自动退出-10秒","0"
"0","","0","资源甘特图测试用例","1","0","按钮显示文字开关可开启","0"
"0","","0","物料组表测试用例","1","0","查询物料组代码包含产品A或物料优先度>0","0"
"2","","0","订单预占料测试用例","0","0","删除数据成功","0"
"0","","0","资源切换表测试用例","1","0","添加资源切换信息 填写资源，前资源和后资源，填写切换时间，不填写优先度 不允许提交","0"
"0","","1","物料交付答复测试用例","0","0","取消删除数据","0"
"0","","0","生产特征切换表测试用例","1","0","删除全部数据功","0"
"0","","0","导航栏测试用例","1","0","取消收藏页面成功","0"
"1","","0","收货班次测试用例","1","0","删除数据成功","0"
"2","","0","供应商信息测试用例","0","0","删除数据成功","0"
"0","","0","事务管理页用例","1","0","流程日志-点击重置按钮成功","0"
"0","","0","标准应用设置测试用例","1","0","修改统计图名称成功","0"
"1","","0","事务管理页用例","0","0","我的流程-添加流程名称点击保存提示重复","0"
"0","","0","班次表测试用例","1","0","添加测试数据成功","0"
"1","","0","环境设置页用例","0","0","排程页面-校验所有数字输入框-超过最大值为Infinity","0"
"0","","0","资源甘特图测试用例","1","0","排序方案可选择-资源代码顺序-降序","0"
"0","","0","标准应用设置测试用例","1","0","添加统计图 不输入图表名 点击确认 不允许添加","0"
"0","","1","标准应用设置测试用例","0","0","添加测试标签","0"
"0","","0","事务管理页用例","1","0","事务模版-新增模版失败，事务类型不填写点击确定,不允许提交","0"
"0","","0","制造订单表测试用例","1","0","取消删除数据","0"
"0","","0","方案管理表测试用例","1","0","属性设置-时间属性-用户指定最迟结束时刻","0"
"0","","0","事务管理页用例","1","0","事务模版-修改事务名称成功","0"
"0","","0","生产特征表测试用例","1","0","删除测试数据成功，删除布局成功","0"
"0","","0","工序表测试用例","1","0","查询工序名字成功","0"
"0","","0","个人设置测试用例","1","0","组件菜单文字-显示","0"
"0","","0","资源表测试用例","1","0","数字文本框 只允许填写数字","0"
"1","","0","供应商信息测试用例","0","0","添加测试数据","0"
"0","","1","客户表测试用例","0","0","下拉框选择成功","0"
"1","","0","事务管理页用例","0","0","我的流程-修改事务模版重复","0"
"1","","0","物料交付答复测试用例","0","0","添加数据重复","0"
"0","","0","工序表测试用例","1","0","查询工序名包含检查或表示顺序>70","0"
"0","","0","事务管理页用例","1","0","我的流程-点击重置按钮成功","0"
"1","","0","用户与物料员测试用例","0","0","添加测试数据","0"
"0","","1","事务管理页用例","1","0","流程日志-执行执行状态执行成功搜索成功","0"
"0","","0","物控方案管理表测试用例","1","0","向下移动命令","0"
"1","","0","用户与物料员测试用例","0","0","添加数据重复","0"
"0","","0","资源切换表测试用例","1","0","删除全部数据功","0"
"0","","0","资源甘特图测试用例","1","0","图棒-显示颜色","0"
"0","","0","生产日历表测试用例","1","0","添加生产日历信息 填写班次填写资源 不填写日期 不允许提交","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-表尾内容设置为合计","0"
"0","","0","工序表测试用例","1","0","没有数据时显示正常","0"
"0","","0","资源甘特图测试用例","1","0","删除布局名称成功","0"
"1","","0","物料交付答复测试用例","0","0","没有数据时显示正常","0"
"0","","0","物料表测试用例","1","0","查询物料名称包含材料或物料优先度>70","0"
"1","","0","物料员测试用例","0","0","刷新成功","0"
"0","","0","资源表测试用例","1","0","添加数据成功","0"
"0","","0","生产特征切换表测试用例","1","0","查询资源成功","0"
"0","","1","物料组表测试用例","0","0","输入全部数据，添加保存成功","0"
"0","","0","生产特征切换表测试用例","1","0","添加资源切换信息 填写资源，前生产特征和后生产特征，填写切换时间，不填写优先度 不允许提交","0"
"1","","0","生产报工测试用例","0","0","查询资源成功","0"
"1","","0","用户与物料员测试用例","0","0","添加物料员信息，只填写用户，不填写物料员，不允许提交","0"
"1","","0","供应商信息测试用例","0","0","取消删除数据","0"
"1","","0","收货班次测试用例","0","0","添加信息 不填写数据点击确认 不允许提交","0"
"0","","0","物品切换表测试用例","1","0","添加物品切换信息 填写前品目和后品目不填写资源 不允许提交","0"
"0","","0","生产特征表测试用例","1","0","查询名称包含1并且显示顺序>10","0"
"0","","0","生产日历表测试用例","1","0","刷新成功","0"
"0","","0","标准应用设置测试用例","1","0","添加柱状统计图 切换数据源 点击确认 添加成功","0"
"0","","0","方案管理表测试用例","1","0","添加复制方案成功","0"
"0","","0","标准应用设置测试用例","2","0","删除透视表布局成功","0"
"1","","0","用户与物料员测试用例","0","0","新增全部数据测试","0"
"0","","0","资源表测试用例","1","0","添加数据重复","0"
"1","","0","仓库库位测试用例","0","0","删除测试数据成功","0"
"1","","0","物料交付答复测试用例","0","0","过滤刷新成功","0"
"0","","0","客户表测试用例","1","0","查询客户代码包含111或表示顺序>60","0"
"0","","0","资源甘特图测试用例","1","0","按钮变更使用时间开关可关闭","0"
"1","","0","物控方案管理表测试用例","0","0","属性设置-齐套供需设置保存全部成功","0"
"0","","0","方案管理表测试用例","2","0","删除刚才添加的方案","0"
"0","","1","工艺产能表测试用例","0","0","添加测试数据成功","0"
"1","","0","生产报工测试用例","0","0","数字文本框只允许输入数字","0"
"0","","0","工序表测试用例","1","0","添加测试数据成功","0"
"2","","0","物控需求定义测试用例","0","0","删除数据成功","0"
"1","","0","收货班次测试用例","0","0","查询测试数据成功","0"
"1","","0","物控需求定义测试用例","0","0","添加必填数据成功","0"
"0","","0","删除添加的物品，添加的工艺产能，添加的制造订单,删除工作指示测试用例","1","0","删除添加的物品，添加的工艺产能，添加的制造订单,删除工作指示","0"
"0","","0","生产特征切换表测试用例","1","0","修改切换优先度成功","0"
"1","","0","用户与物料员测试用例","0","0","筛选","0"
"1","","0","物料库存测试用例","0","0","修改物料员代码重复","0"
"0","","0","个人设置测试用例","1","0","切换系统语言-汉语","0"
"0","","0","物料交付答复测试用例","1","0","添加交付答复信息 不填写数据点击确认 不允许提交","0"
"1","","0","用户与物料员测试用例","0","0","查询物料员代码成功","0"
"1","","0","工序表测试用例","0","0","修改工序名，显示颜色成功","0"
"0","","0","环境设置页用例","1","0","恢复默认设置","0"
"0","","0","资源切换表测试用例","1","0","取消删除数据","0"
"0","","0","方案管理表测试用例","1","0","属性设置-忽视未分派的前后工序的工作","0"
"0","","0","资源表测试用例","1","0","没有数据时显示正常","0"
"0","","0","生产日历表测试用例","1","0","修改生产日历资源成功","0"
"0","","0","物料表测试用例","1","0","查询物料代码成功","0"
"1","","0","物料库存测试用例","0","0","删除测试数据成功","0"
"0","","0","客户表测试用例","1","0","添加客户信息，只填写客户名称，不填写客户代码，不允许提交","0"
"0","","0","标准应用设置测试用例","1","0","快速查询下拉框多选为或者关系","0"
"1","","0","事务管理页用例","0","0","流程日志-全部条件搜索成功，关系为and","0"
"0","","0","制造订单表测试用例","1","0","查询订单代码包含1A并且计划数量>100","0"
"0","","0","工艺产能表测试用例","1","0","删除使用指令成功","0"
"0","","0","资源表测试用例","1","0","查询资源名称包含开料并且数值特征1MAX>70","0"
"1","","0","订单预占料测试用例","0","0","新增全部数据测试","0"
"1","","0","生产报工测试用例","0","0","当报工数量小于实绩报工数量 修改报工数量成功","0"
"0","","0","制造订单表测试用例","1","0","添加制造订单信息 不填写数据点击确认 不允许提交 并且添加了一新布局设置成默认启动布局","0"
"0","","0","事务管理页用例","1","0","我的流程-添加流程什么都不填点击保存，不允许保存","0"
"0","","0","工序表测试用例","1","0","刷新成功","0"
"0","","0","班次表测试用例","1","0","刷新成功","0"
"1","","0","班次表测试用例","0","0","下拉框选择成功","0"
"0","","0","生产特征表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","资源组表测试用例","1","0","取消删除数据","0"
"1","","0","收货班次测试用例","0","0","过滤刷新成功","0"
"1","","0","用户与物料员测试用例","0","0","取消删除数据","0"
"0","","0","工序表测试用例","1","0","修改工序代码重复","0"
"0","","0","环境设置页用例","2","0","标识页面-设置商标成功","0"
"0","","0","客户表测试用例","1","0","查询客户名字成功","0"
"1","","0","订单预占料测试用例","0","0","添加交付答复信息 不填写数据点击确认 不允许提交","0"
"0","","0","物料库存测试用例","1","0","取消删除数据","0"
"0","","0","工序表测试用例","1","0","重新打开浏览器，数据还存在","0"
"0","","0","标准应用设置测试用例","1","0","添加面积统计图 添加成功","0"
"0","","0","物料表测试用例","1","0","没有数据时显示正常","0"
"0","","0","物品切换表测试用例","1","0","删除布局成功","0"
"0","","0","覆盖日历表测试用例","1","0","查询资源成功","0"
"0","","0","资源切换表测试用例","1","0","添加资源切换信息 填写资源，前资源和后资源 不填写切换时间 不允许提交","0"
"0","","0","事务管理页用例","1","0","流程日志-执行时间搜索成功","0"
"0","","0","物料组表测试用例","1","0","没有数据时显示正常","0"
"1","","0","物控方案管理表测试用例","0","0","添加命令成功","0"
"0","","0","班次表测试用例","1","0","修改班次代码成功","0"
"1","","0","工序表测试用例","0","0","下拉框选择成功","0"
"0","","0","班次表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","生产特征切换表测试用例","1","0","添加资源切换信息 填写资源，前生产特征和后生产特征 不填写切换时间 不允许提交","0"
"0","","0","资源表测试用例","1","0","添加测试数据成功","0"
"0","","0","收货班次测试用例","1","0","添加测试数据","0"
"0","","0","资源甘特图测试用例","1","0","按钮变更使用时间开关可开启","0"
"1","","0","物控方案管理表测试用例","0","0","添加复制测试方案成功","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-物料种类快速查询-下拉框","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-设置物料名称为不可见","0"
"1","","0","标准应用设置测试用例","0","0","标签设置不显示在快速查询下放","0"
"0","","0","工艺产能表测试用例","1","0","查询物料代码成功","0"
"1","","0","仓库库位测试用例","0","0","修改工厂代码成功","0"
"0","","0","客户表测试用例","1","0","输入全部数据，添加保存成功","0"
"0","","0","工艺产能表测试用例","1","0","添加工艺产能信息，只填写物料和工序选定器和工序编号，不允许提交","0"
"1","","0","收货班次测试用例","0","0","编辑全部选项成功","0"
"0","","0","收货班次测试用例","1","0","修改测试数据成功","0"
"0","","0","个人设置测试用例","1","0","不操作自动退出-输入超过86400数字为86400","0"
"0","","0","生产特征表测试用例","1","0","把修改后的代码改回来","0"
"0","","0","物料组表测试用例","1","0","添加数据重复","0"
"1","","0","订单预占料测试用例","0","0","取消删除数据","0"
"1","","0","供应商信息测试用例","0","0","编辑全部选项成功","0"
"0","","0","客户表测试用例","1","0","查询表示顺序<10","0"
"0","","0","工序表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","制造订单表测试用例","1","0","修改制造订单代码成功","0"
"0","","0","方案管理表测试用例","1","0","属性设置-制造效率","0"
"0","","0","客户表测试用例","1","0","删除测试数据成功，删除布局成功","0"
"0","","0","物品切换表测试用例","1","0","刷新成功","0"
"0","","0","事务管理页用例","1","0","我的流程-频率为一次，不填写执行时间，不允许保存","0"
"0","","0","物料组表测试用例","1","0","下拉框选择成功","0"
"0","","0","物料组表测试用例","1","0","添加物料组信息 不填写数据点击确认 不允许提交，添加测试布局","0"
"0","","0","物料表测试用例","1","0","添加物料信息，只填写物料代码，不填写物料名称，不允许提交","0"
"0","","0","客户表测试用例","1","0","删除全部input数据成功","0"
"0","","0","工艺产能表测试用例","1","0","刷新成功","0"
"0","","0","资源组表测试用例","1","0","添加数据重复","0"
"0","","0","资源组表测试用例","1","0","修改资源组名称，资源量制约","0"
"0","","0","资源表测试用例","1","0","修改资源代码成功","0"
"0","","0","物品切换表测试用例","1","0","取消删除数据","0"
"1","","0","用户与物料员测试用例","0","0","没有数据时显示正常","0"
"0","","0","资源甘特图测试用例","1","0","按钮是否显示工作选择面板开关可开启","0"
"0","","0","标准应用设置测试用例","1","0","设置透视表格布局默认启动-成功","0"
"0","","0","物料表测试用例","1","0","添加测试数据","0"
"1","","0","方案管理表测试用例","0","0","属性设置-新增资源选择策略-不允许命名一致","0"
"0","","1","物控方案管理表测试用例","0","0","属性设置-未选择必填项，不允许提交","0"
"0","","0","客户表测试用例","1","0","修改客户代码成功","0"
"1","","0","供应商信息测试用例","0","0","查询工厂代码成功","0"
"0","","0","事务管理页用例","1","0","事务模版-新增模版失败，不输入事务名称，事务类型，配置参数不允许提交","0"
"0","","0","添加物品，添加工艺产能，添加制造订单测试用例","1","0","添加物品，添加工艺产能，添加制造订单进行排产","0"
"1","","0","工作指示一览表测试用例","0","0","工作指示发布成功，工作指示一览显示成功","0"
"0","","0","班次表测试用例","1","0","修改班次代码重复","0"
"0","","0","标准应用设置测试用例","1","0","添加双轴统计图 添加成功","0"
"1","","0","个人设置测试用例","0","0","打开引擎为IP","0"
"0","","0","资源表测试用例","1","0","修改资源名称，资源量制约","0"
"0","","0","物料组表测试用例","1","0","修改物料组代码重复","0"
