"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9784","test_resource_editcodesuccess2","Tests.test_items","Fri Mar 20 21:49:05 CST 2026","passed","Fri Mar 20 21:49:15 CST 2026","TestResourcePage","test_resource","",""
"","12855","test_MaterialCTB_select5","Tests.test_material","Sat Mar 21 02:35:28 CST 2026","passed","Sat Mar 21 02:35:41 CST 2026","TestItemPage","test_MaterialCTB","",""
"","355","test_loadChart_displaytable","Tests.test_items","Sat Mar 21 01:24:58 CST 2026","passed","Sat Mar 21 01:24:58 CST 2026","TestChartPage","test_chart","",""
"","19261","test_sched_rule2","Tests.test_items","Sat Mar 21 00:15:29 CST 2026","passed","Sat Mar 21 00:15:48 CST 2026","TestSchedPage","test_sched","",""
"","12725","test_coverage_select4","Tests.test_items","Fri Mar 20 22:53:14 CST 2026","passed","Fri Mar 20 22:53:27 CST 2026","TestCoveragePage","test_coverage","",""
"","23011","test_tablesetting_order_effective","Tests.test_items","Sat Mar 21 02:18:00 CST 2026","passed","Sat Mar 21 02:18:23 CST 2026","TestTableSettingPage","test_tablesetting","",""
"","13278","test_material_materialdimension_select3","Tests.test_material","Sat Mar 21 05:02:21 CST 2026","broken","Sat Mar 21 05:02:34 CST 2026","TestSPlanDataPage","test_materialPlanData","",""
"","12959","test_sched_addsuccess","Tests.test_items","Sat Mar 21 00:12:25 CST 2026","passed","Sat Mar 21 00:12:38 CST 2026","TestSchedPage","test_sched","",""
"","12328","test_shift_addsuccess1","Tests.test_items","Fri Mar 20 22:42:51 CST 2026","passed","Fri Mar 20 22:43:04 CST 2026","TestShiftPage","test_shift","",""
"","7542","test_user_addfail2","Tests.test_system","Sat Mar 21 06:02:04 CST 2026","passed","Sat Mar 21 06:02:11 CST 2026","TestUserRolePage","test_userRole","",""
"","12155","test_modeldesign_select","Tests.test_system","Sat Mar 21 07:46:00 CST 2026","passed","Sat Mar 21 07:46:12 CST 2026","TestSModelDesignPage","test_modeldesign","",""
"","9064","test_order_addsel","Tests.test_items","Fri Mar 20 23:45:20 CST 2026","passed","Fri Mar 20 23:45:29 CST 2026","TestOrderPage","test_order","",""
"","13774","test_calendar_addfails","Tests.test_items","Fri Mar 20 22:56:44 CST 2026","passed","Fri Mar 20 22:56:58 CST 2026","TestCalendarPage","test_calendar","",""
"","9757","test_order_addnum","Tests.test_items","Fri Mar 20 23:45:10 CST 2026","passed","Fri Mar 20 23:45:20 CST 2026","TestOrderPage","test_order","",""
"","7031","test_affairs_process_nextfail4","Tests.test_system","Sat Mar 21 05:30:19 CST 2026","passed","Sat Mar 21 05:30:26 CST 2026","TestAffairsPage","test_affairs","",""
"","54700","test_setting_share_dellayout","Tests.test_items","Sat Mar 21 02:00:58 CST 2026","passed","Sat Mar 21 02:01:52 CST 2026","TestSettingPage","test_setting","",""
"","21652","test_item_selectnodatasuccess","Tests.test_items","Fri Mar 20 21:23:58 CST 2026","passed","Fri Mar 20 21:24:20 CST 2026","TestItemPage","test_item","",""
